日期,單位名稱,買進金額,賣出金額,買賣差額
2025/08/08,自營商(自行買賣),"3,656,204,783","3,820,357,478","-164,152,695"
2025/08/08,自營商(避險),"12,498,246,283","11,041,543,873","1,456,702,410"
2025/08/08,投信,"7,687,232,539","9,549,092,167","-1,861,859,628"
2025/08/08,外資及陸資(不含外資自營商),"136,766,499,223","140,022,737,409","-3,256,238,186"
2025/08/08,外資自營商,0,0,0
2025/08/08,合計,"160,608,182,828","164,433,730,927","-3,825,548,099"
